text,sentiment
 But she means a lot to me . ,Negative
 What is it ? ,Neutral
 I can ’ t wait to go there myself . ,Positive
 I have to work on Saturday all day ! I really hate my job ! ,Negative
 I see . ,Neutral
"Begining the week-end with my girlfriend : coziness, beer and wine.",Positive
" I went sailing , fishing , and horseback riding . ",Neutral
"My boyfriend hinted over the phone about wanting to \be free\"".  He thus did not say it point blank, silence followed.""",Negative
" Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . ",Positive
 Thanks . ,Positive
 It makes me sick . ,Negative
A close relative of mine died in a serious car accident.  I was one of the first two people to see the corpse and I had to do it.  Before going in to see it I was afraid as it was the first time that I was seeing a corpse.,Negative
"At school, a couple of years ago, a so-called acquaintance told lies about me to a teacher I was told about it by friends who overheard the conversation.",Negative
"He uttered a short sharp bark , which made Rosie jump ; she assumed it was a cough , then realised that it was intended as an expression of amusement . ",Positive
" Well OK , I am just afraid of getting food poisoning . ",Negative
"My sister had to undergo a very complicated operation, her eyesight was at stake.",Negative
 Why not ? ,Neutral
"Unjust accusations directed at me and my way of acting, by someone close to me.  ",Negative
I got better marks in the exam than many arrogant people.,Positive
My academic result was poor and I had to repeat the second year.  I felt sad about the coming several years.,Negative
 To me English is a difficult language . ,Neutral
There was a lot of irritation between me and a person who lives in the same house where I live. Suddenly it became too much for me and I accused him of several things.,Negative
" Oh yes , I loved it . Wasn't the scene with the judge great ? ",Positive
 Check out what happens when I put on the brakes suddenly . It can stop quickly . ,Positive
" Sorry , sir . We receive credit card and cash only . ",Negative
@DFord10 You wasnt smiling last night! Everytime i got around you your heart started racing and your lip trembled! ,Negative
I received a letter from my grandmother. She has obviusly suffered a lot from my grandfather's suffering health. She mentioned things she had gotten him and he would never use.,Negative
 has anything else happened to you ? ,Neutral
When I made up with a girl-friend of mine after having been on unfriendly terms with her (my fault).  I cried with joy that evening.,Positive
The exam was drawing near and I wanted to prepare for it.  But I had a lot of other things to do so I did not have much time to prepare  for the exams.  Whenever I sat down to study I was scared that I would  not be able to finish it.,Negative
"Mom , I hate eating vegetables ! ",Negative
 That sounds wonderful . ,Positive
Bad food in the students' dining hall.,Negative
 And ? ,Neutral
" Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . ",Neutral
 I was turned down again . It ’ s frustrating . I guess you ’ Ve got to teach me some skills . ,Negative
"Within the ranks of the music press , there seemed to be a genuine grief at the split and the band 's loyal followers responded accordingly , filling the letter pages with tearful , doleful sentiment . ",Negative
 Parker . ,Neutral
"Darling Bob , don't be cross if I haven't got it right , but is it one of your beloved American writers ? ",Negative
Nigel became despondent but I didn't . ,Negative
 It's sounds like fun . ,Positive
"With horror in her eyes , the nurse stated that the young girl had tearfully told the physician the events that had led to her tragic situation . ",Negative
"One of my friends asked me to go shopping with her, another friend of hers was also coming along.  During the outing they kept talking to each other and I felt left out, even when I tried to talk to them they seemed not to listen to me and did not pay me much attention.",Negative
I felt sad when I heard that my cousin had passed away just suddenly.,Negative
" I am sorry to say it's not on the way , but during loading . The tins inside the cases were broken evidently through rough handling . ",Negative
"Mañana a la pista de hielo de Menacho con la clase de E. Fisica... deseadme suerte para que no me haga un esguince, o algo peor... x) ",Negative
I felt it on the same occasion when I felt sadness which finally grew into anger.,Negative
 Thanks ! ,Neutral
ALAN Hickman from Derbyshire became worried about the advice he was receiving over his pension transfer when he realised that each expert he consulted recommended a different course of action . ,Negative
"As trains halted , the orchestra struck up Aaron Copland 's Fanfare For The Common Man much to the amusement and delight of curious passengers . ",Positive
 Fine . ,Neutral
 I know . Last week he gave me a lie about being too busy . ,Negative
I met a certain lady at Mchesi and I proposed a word of love to her and at the same time she accepted my proposal.,Positive
"After my boy-friend had beaten me for the first time, I always trembled when somebody knocked on my door or when I heard steps coming nearer.",Negative
"On a trip to Santander we wanted to stop at a curve because a friend was sick, and the car skidded of the gravel.",Negative
The other day he slapped Liam across the face and got mad at me when I complained . ,Negative
When I recently got an appartment in central Gottenburg.,Positive
"Fear will always haunt me, but hope will always conquer.   ",Negative
 It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . ,Neutral
He liked to think of her being pleased at getting a letter . ,Positive
Not realisation of the desired profession (aviator).,Negative
"This house is very nice for me , but I can ’ t afford it in a lump sum . ",Negative
 I believe that you can make your dream come true . ,Positive
My friend is very anxious about your welfare . ,Negative
I am not downhearted . ,Negative
Came back from surfing to find car broken into and gear and money stolen.,Negative
I'm terribly nervous . ,Negative
 tomorrow . ,Neutral
Someone who always took care for the key of the sports hall stayed away without letting us know. Next time he did as if nothing had happened.,Negative
I felt happy when I saw my brother at the bus depot after 3 months without seing each other.,Positive
 You can't be serious . How dare you not tell me you were going to marry her ? ,Negative
" Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . ",Neutral
"During a lecture, a colleague who did not know anything about the subject, got on my nerves asking silly questions.",Negative
Looking for the toilet in a dark place.,Negative
earthquake.,Negative
 Earth crake,Negative
"I felt so desolate , and so angry . "" ",Negative
Now I felt really depressed . ,Negative
Wasn't there one word of sympathy he could offer to ease her sorrow at having loved and lost him ? ,Negative
She showed her anger in public by virtually ignoring Charles . ,Negative
"Yes , I 'd like to declare a small case of French flu , a dangerous fondness for Flaubert , a childish delight in French road-signs , and a love of the light as you look north . ",Positive
" Sorry , I ’ m looking for my wallet . ",Negative
 Of course . ,Neutral
"Germans were resentful of France 's post-war attempts to keep them under close control , and it could not automatically be expected that they would agree to join European institutions . ",Negative
Being alone in the room at night.,Negative
"A relative, whom I like very much, left for the United States.",Negative
"My grandfather died, when I was an exchange student in the USA.",Negative
" That's good to know . Oh , listen ! The band's playing our song . ",Positive
 In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while . ,Neutral
When I understood I was admitted to the Sofia University.,Positive
Jess felt faintly indignant at the remark . ,Negative
A shop in Downtown wouldn't accept my Visa Card - before December last year.,Negative
Waiting for my girlfriend to come from her apt. to mine. She was very late and I thought something awful had happened.,Negative
" Sorry , I don't feel like playing . I have too much homework . ",Negative
 The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! ,Positive
"I'm not afraid of tomorrow, for I have seen yesterday and I love today #less",Negative
 Like what ? ,Neutral
He looked around at their delighted faces and began to feel embarrassed . ,Positive
South Korea winning more gold medals in the Asian Olympic (more than China).,Negative
My boy-friend had promised me to come an 10 a.m. - he was 3 hours late.,Negative
" Nice to meet you , too . ",Positive
I felt happy when my mother gave birth to a son who is the last born in the family.,Positive
"Sitting in front of the looking glass , making up her face , she hoped that Anthony was all right and not quite as heartbroken as Julia seemed to think he was . ",Negative
I bought a Christmas present for my girl-friend. On my way home I was really glad about having found such a suitable thing.,Positive
Gut wrenching pain. Please don't let it be true ,Negative
When I heard the news of my grandfather's sudden death.,Negative
"Stanley Spencer had been through the war ; he had experienced the horror , the vulgarity , of war . ",Negative
 I hope not . Then we'd have to reschedule our baseball game . ,Neutral
We were confused and anxious when we were not understood . ,Negative
 Turn on the radio ? What for ? ,Negative
Despite a flaring anger at this impertinence her eyes were drawn to the strong column of his throat as he swallowed . ,Negative
 I sure did . ,Neutral
I was supposed to meet my girlfriend at a pre-arranged place but it took me an hour to find her.,Negative
 Thank you for coming . I'm glad you liked it . ,Positive
" No , don't , I don't want to see you anymore . Don't ever call me again . ",Negative
People waiting for trains watched in horror as the violence spread towards the Hall . ,Negative
"When I realised that I was forgiven by the God who is there, when I realised how much God loves me and that my acceptance with him is not based on my performance - that he loves me unconditionally and showed that love in Christ who died because I do need forgiveness.",Positive
 Why ? ,Neutral
" Yeah , after all the explanations like , it ’ s too heavy , I was in a hurry ... whatever . ",Negative
 Whatever am i going to tell me parents . ,Negative
"Seems that the sky will fall with so much rain, lightning never seen so many in a  only night o.O ",Negative
@yasaikatsucurry @Declasm i just narrowly escaped being left solo with 2 children ,Negative
"If we deny  that is given to us,if we refuse to give love because we #pain or loss,then our lives will be empty,our loss greater.",Negative
"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. #anaconda #fuckthatshit",Negative
"I'm not afraid of tomorrow, for I have seen yesterday and I love today #less” good one!",Negative
"A male, Honduran acquaintance of mine despised my opinions.",Negative
 for what ? ,Neutral
I ran a race for the CAL track team and I did terribly and then the coach said that I should sit out for the season. I felt really sad because I wasn't going to be able to run. It was something I always had done and now I couldn't do it anymore.,Negative
"It could well become agitated at the dispersal of the pigeons , turn its head towards the lights , and bark heatedly at the road workers . ",Negative
I was called racial slurs behind my back.,Negative
"A friend of mine ridiculed me, telling me that I would never accomplish anything. I felt that he had interfered with my life.",Negative
 I often feel so tired . ,Negative
After the fact that made me ashamed I felt sadness.,Negative
"@iAnteneh we do my is I don't wanna mess up,but no doubt McGill is a good school I just don't wanna live in Montreal lol",Negative
"In August,1983, the long awaited \big envelope\"" (a document for C.U.H.K admission) arrived.  It was in the afternoon and I had not been doing anything.  When the postman, with his big bag, knocked on the door I knew what it was about.  I hurriedly opened the envelope and my mood at that time is hard to describe.  It lasted several hours and only calmed down later.""",Positive
When I got home I found that the electrical supply had been disconnected despite my having paid the full bill a few days earlier.,Negative
 I know . I feel bad about how much my car is adding to the pollution problem in this city . ,Negative
 What sign ? ,Neutral
"A friend of mine tried to persuade me to go at her place to act as a model because she felt too tired. It was a quarter of an hour before the appointed time, I had just lied down and did not want to go because it was too late anyway. She said that I only was talking about looking for work, but if it was possible I would not accept it. I was angry about this unjust judgment.",Negative
"I wanted to see a friend, I had been looking forward to it and had certain expectations, but he did not pay any attention to me, played cards with other people.",Negative
Sneezing an simultaneously farting ,Negative
Seeing this badly made questionnaire.,Negative
When I was left alone one week-end without being prepared for it.,Negative
 Not really ! ,Neutral
When I was pressing figures on the curtain cloth. I had bought the cloth after months of hindrances.,Positive
"The session had ended with the seven of them grinning broadly , their earlier mood of despondency cast aside , their sense of unity rebuilt . ",Negative
Joining in a research group studying consumer's behaviour and helping the people in the shop with the sales.,Positive
"Despite the disquiet at the club this year , Mr Stringer still appears more relaxed and more in control than he did when he first took charge in that winter of 1987 . ",Negative
" Sorry , the connection is terrible . I'll call you back because I can't hear anything . ",Negative
Getting into this university to do medicine.,Positive
 Certainly not . ,Negative
My younger brother and sister were involved in an accident on their way back from school and my brother was quite badly hurt.,Negative
"I became irate and , alleging breach of contract and damage to her image , threatened to sue him for a 500,000 . ",Negative
"I was in Sierra Nevada, climbing a peak over 3,000 metres high, without any light and with many other problems.  I was afraid for my life.",Negative
The family are not downhearted ; they have made many people across the country aware of the Trust and their work . ,Negative
 No . ,Neutral
Someone (a boy) paid special attention to me.,Positive
When we forced a friend to chew a poisonous herb in primary school.  His tongue was swollen and he told his mother about it.  The mother reported it to the headmaster who threatened to expel us.,Negative
" I'll have us ready for Stars.com by the end of next week . After that , I don't know . ",Negative
When I saw my brother being attacked and I could not do anything.,Negative
" Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . ",Neutral
When the gear broke on my car.,Negative
Sister Cecilia was flushed with vexation . ,Negative
 92 . ,Neutral
 Perfect ! ,Neutral
I feel pity for the old man . ,Negative
When I got permission to study at a place which was far away from my home.,Positive
"Father said : ` We are devastated , but we intend to restore the church to its former glory . ",Negative
When I learned that my brother had spoilt an LP of mine.,Negative
" I don't know , I can't stand my job these days . ",Negative
"She seemed nervous at first , then almost resentful of the older woman 's presence . ",Negative
When I found one of my new pullovers wrinkled inside the wardrobe.  My brother had done it.,Negative
 Thank you . I will . ,Positive
 Miss ! ,Neutral
Why don't you have dinner with me tonight ? ,Positive
 You are scaring me ! ,Negative
" You know the phrase , the survival the fittest . We have no choices . ",Neutral
" How's life going , Zhang Lin ? ",Positive
 It seems you two are a good match . What qualities do you look for in a friend ? ,Positive
"And therein lay the extent of his gratitude , she realised with a feeling of despondency , but to disguise her feelings she added brightly , ` When we 're at the hospital we must visit Stella . "" ",Negative
"` Let me in for I am cold and desolate and hungry . "" ",Negative
The only song I can really really like of his is be writing that real ,Neutral
The seats are excellent . We're right in the center . ,Positive
My parents were out and I was the eldest at home.  At midnight a male stranger phoned us and spoke to me in a rough language.  I hung up and heard someone walking outside our door.,Negative
"When my grandfather was sick, and died I felt more sad, though, when he was sick.",Negative
" Well , no. it can ’ t be that hard ! I mean , all you have to do is explain your business , how you are going to do things and that ’ s it , right ? ",Negative
"I had to go to the dentist's. When he touched my tooth with his drill, I was terribly afraid of the pain I would feel any moment.",Negative
Thus if a particularly irate husband pronounced the words three times in the heat of the moment the divorce was permanent and could not be reversed . ,Negative
 Why ? ,Neutral
When my parents complimented me very nicely on something.,Positive
She signed on for four years after talks with Highbury boss George Graham and said : ` I 'm delighted it 's all gone through so smoothly . ,Positive
"I had asked the teacher to write a recommendation letter for me, but I had not provided enough information and had run short of time.",Negative
" Yes , sir . ",Neutral
 What ? ,Neutral
 For God's sake ! It's too bloody . How can people be so cruel ? ,Negative
"The time I drove my uncle's car, without having asked for his permission.  It was the first time that I was driving a car.",Negative
 I will . ,Neutral
"On my birthday, my closest friends were here at Berkeley pithched in a lot of money each and bought me ten records to replace some of my records that were stolen. They threw a small surprise party for me too.",Positive
When I went to town in a double decker bus.  The bus was about to fall on the way when the driver controlled it.  It had almost fallen.,Negative
Disappointment over a friend.,Negative
 That ’ s all right . Thank you all the same . ,Positive
 I'd love to . ,Positive
Ev ans was miffed at the comments and openly wondered why Bennett didn't show some respect .,Negative
 I just lost my job . I'm just worried about how I'm going to pay the bills . ,Negative
" That sounds like a lot of fun . Did you go swimming , too ? ",Positive
After my boyfriend and I had separated.,Negative
He expressed at once his sorrow for my father 's death . ,Negative
"They were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body . ",Positive
When I lost my driving license because I had been driving while under the influence of alcool.,Negative
 Of course.No girl is more charming . ,Positive
 Good luck ! ,Neutral
 Try to be more careful in future . Look ! You ’ Ve damaged the sign . ,Negative
Deep down I get more and more frightened . ,Negative
 The Giants ? ,Neutral
 How could you ? I reminded you just this morning . ,Negative
Fear to come and live in Nijmegen.,Negative
When a friend left me and went back home for good.,Negative
The music has started . ,Positive
"Catherine looked downcast , and McLeish felt uneasy . ",Negative
Her mother would be cross and he would feel stupid . ,Negative
 I know . I still haven't heard from her . The good thing is that I'm so angry with her that I don't feel sad about not having her around . ,Negative
 Thank you for you help . ,Positive
I was raped by a friend.,Negative
"A few days ago, I hitch-hiked to Arnhem with a friend. Everything went well: they picked us up very quickly, the sun was shining, I was feeling free and, for the first time after long time, happy. I really had the feeling that I was living at full speed.",Positive
"I was not given a chance to explain to my close relatives as to why I could not go to visit them when they were ill.  When I did go, they thought that I had been selfish and irresponsible during their illness.",Negative
I'll never ever work together with him ! ,Negative
My old friend visited me in the university.,Positive
"I was asked to join my friend in a boat at Lake Malawi and when making a turn, it seemed as if the boat would sink on the side.",Negative
When my girlfriend left me.,Negative
"Because they 're concerned about America 's oil dependence , senior government officials have come to rub shoulders with the advocates of conservation and alternative power sources . ",Negative
When I was attacked by a teenage boy and had my wallet stolen.,Negative
I was inside the car with my husband and we were assaulted with a gun at 10 o'clock in the evening.,Negative
"My boyfriend with whom I had a longlasting relationship, fell in love with another girl, then he asked me something which implied that he loved that girl more than he loved me.",Negative
"Last week, my organization summoned an executive meeting and one of the executive member's pointed out a loop hole in the committee's administration.  He could not suggest any improvements, so I quarrelled with him.",Negative
"look, if we can't make the occasional crass sexual joke about serious protests, the terrorists have already won. ",Negative
"Plummer wanted to know , a note of exasperation in his voice . ",Negative
" Ho , no ! ",Neutral
I had an interview for entry into college. The results were to be announced on radio. After a long period of waiting the results were released. I had succeded - tension was relieved by joy.,Positive
Hank was thoroughly disquieted . ,Negative
My mother along with some of my friends gave me a surprise birthday party - they invited a large number of my friends along too.,Positive
" No , you don ’ t understand , I need this tomorrow morning ! I accidentally spilled beer all over my wife ’ s dress and we have a wedding to attend tomorrow ! She ’ s gonna kill me ! ",Negative
"In England wild storms swept the country , and commuters were infuriated and inconvenienced by the dispute . ",Negative
 Really ? What can I do now ? I can't miss the important meeting . ,Negative
I am saddened to find that such thinking still exists within the profession . ,Negative
She knew that his Gothic romance and glossary were being turned down by publisher after publisher and he grew despondent as he rewrote and rewrote again . ,Negative
HOW DID YOU KNOW MY UNCLE WAS A CRAZY CONSERVATIVE!!! He wears a helmet in his own car.,Negative
 You told Martha that I was on a date ? What was that all about ? ,Negative
" Let me see . Ah , yes , I've been to England , France , Germany , Italy and now I've been in Spain ",Positive
Is the clock right ? ,Neutral
When I got separated from my first love.,Negative
Going to CAL not knowing anyone.,Negative
" I am afraid your diamond bracelet has gone , darling ! ",Negative
"` Pa would 've been livid with me for getting pregnant , and he wouldn't want his precious fiddle going to pay for anything to do with it . "" ",Negative
"And I know that 's miserable for you , but what else can you do ? "" ",Negative
Finding that a subordinate at work was still not willing to cooperate after discussions to try and resolve an attitude problem.,Negative
 Ok . ,Neutral
 I doubt it . ,Neutral
So many families will face the heartbreak of burglary before Christmas . ,Negative
" Me , too . It will be great to see something light and funny for a change . I ’ m tired of heavy drama . ",Neutral
" That's exactly what I want , thank you . ",Positive
When I was mistreated by my step-mother.,Negative
 That's right . ,Neutral
 Ummmph ! ,Neutral
" Sure , I'd love to . ",Positive
I was all of the sudden sad when I heard that my cousin who usually paid school fees had passed away after a very short illness.,Negative
 You're so thoughtful . Wish you a good trip home . And we'll miss you . ,Positive
It ’ s over . ,Neutral
 It couldn't be better . My husband is so supportive with my work and he helps around the house so much . ,Positive
When my mother left for Kenya.,Negative
I was watching TV with a friend. After the first film I wanted to watch another film on the same channel. My friend switched over to the other cannel without asking me what I wanted.,Negative
"I was having an argument with my brother on his behavior, then we  started fighting and I got annoyed at him because he started teasing me.",Negative
"As I walked down the front steps for the last time , a feeling of elation swept over me . ",Positive
"I found a human \treasure\"" that I desired and got immediately. I didn't think about anything. When I touched him I imploded but I am whole.""",Positive
Bobby Robson 's delight at having guided his team to another major tournament was coupled with gratitude to the 40-year-old goalkeeper .  ,Positive
"Segments in D major and B minor accord with episodes of the drama as this unfolds , but two isolated D minor movements underscore Dido 's anguish at being betrayed . ",Negative
" Sorry , I'm very near sighted . ",Negative
 OK . I see . ,Neutral
When I knew about my first job.,Positive
"When I was studying in the library - preparing for a test, two people sitting next to me talked to each other for 20 minutes.  There were no other seats so I could not go elsewhere and I did   not want to interrupt them, so I could only be angry in my heart.",Negative
"Once when I was playing table tennis I was already sure that I would win , but at last I lost the game.",Negative
We went fishing some 5 or 8 kilometers off the shore of Lake Malawi. Before we could settle down the lake became very rough to the point of threatening our lives.,Negative
 Yes ? ,Neutral
 You're right . I love it very much . ,Positive
 No way ! Please don't follow me around . ,Negative
Being chosen to do your experiment with aphasia.,Positive
"A \higher status\"" colleague of mine despised my attitude and organization of work.""",Negative
 Possibly . ,Neutral
Don't believe the lies. Look me in my eyes. Please don't be scared of me. ,Negative
 What ? ,Neutral
When my mother rejected my boyfriend and made unfair judgements on him.,Negative
" Fine , thanks . How about you ? ",Positive
Passing my pharmacy exams which meant my tertiary education for pharmacy completed.,Positive
" Yes , sir . ",Neutral
When I caused much pain and sorrow to my boyfriend by finishing our relationship.,Negative
My roommate leaving my drawers in a mess after plowing thourgh them looking for something.,Negative
I was walking alone along the place where people fear that there are always thieves there and the people who kill their friends during the night two months ago.,Negative
"Shelley looked at the happy faces of her companions , and knew they wanted to be alone , however sweet they were being . ",Positive
When someone accuses me without reason and is not willing to listen to me.,Negative
"At a cash desk where I had gone to buy 16 rolls of kitchen paper at a reduced price.  After queuing with screaming children; it turned out that I had taken two 8 roll packets instead of the one 16 roll packet to which the rebate applied.  The assistant said \You will have to get it another time.\""""",Negative
 He said he had to get rid of them . They were stolen . ,Neutral
 They ’ re really running you into the ground . Why don ’ t you ask for some time off ? You could take a long weekend and go away somewhere . ,Negative
"She is furious that he has married beneath him , but appalled when her vicious attack on him threatens to end their relationship for ever . ",Negative
The day my teacher of Latin and French died.,Negative
China can not even give you good sound systems for an open lecture.,Negative
 Use the number on the back of your library card . ,Neutral
As a child - stepping on a rusty nail - being told that I might get tetanus.,Negative
When I left a man in whom I really believed.,Negative
 I feel so tired . ,Negative
 Hmm . I think I should ask some of my friends for advice before I make a decision . I'm sorry . ,Negative
She sounded very disappointed and David knew she was suppressing her exasperation . ,Negative
When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,Negative
 All right ! ,Neutral
"After sitting for the Standard 8 Exams for the second time in 1979, I had great joy when I heard that I was successful in the Examination when the results were out.",Positive
When the girl with whom I am in love smiles at me.,Positive
When I saw that the mark I had obtained in an exam was a good one.,Positive
I received a letter and a Christmas present from a person I had not seen for two years.,Positive
 Yeah . Li Na's mother has been building a fire under her since her neighbour's daughter got married with a Canadian . She's almost driving Li Na crazy . ,Neutral
Sir Jack Brabham says he 's never been so excited about a new motor car and the challenge is to go and take on the best ,Positive
" Oh John , I thought we said we would start eating right ! Remember ? Our new healthy lifestyle ? That ’ s all junk food ! ",Negative
" Oh , thank God . We all felt frightened by the bad new about him . ",Negative
Waiting for the results of the High level examination.  I was afraid of not being accepted.,Negative
My best friend chosen for your English lectures.,Positive
 You mean I am groaned a few words ? ,Neutral
My grandmother died during Christmas break several years ago.,Negative
"Some classmates said I did not do enough social work. Therefore I was not elected as a \Tree Good\"" student.""",Negative
 Yes . ,Neutral
"When I am alone at night after having read horror stories, and then I heard unexplainable noises.",Negative
" Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . ",Positive
" Just get out of my face , would you ? ",Negative
"Vincent agreed , too low-spirited to put up any resistance . ",Negative
Quarrel in the family.,Negative
My boy-friend told me that he would take me to the training of the life-saving dogs.,Positive
 As long as it doesn't take too long . ,Neutral
You may find your exasperation turns to inspiration ,Negative
She was becoming increasingly despondent about the way things were going . ,Negative
 Yes ? ,Neutral
 but I still love you . ,Negative
When I am alone in a room with no contact with anyone - loneliness drains me.,Negative
"But he was dismayed , in the circumstances , to see Gabriel ride off the moor and up the street in the company of a young monk . ",Negative
When I was accepted for a course on finance and accounting.,Positive
Liz 's anger towards Raquel dates back to a charity dinner this year . ,Negative
When I thought the house was on fire at night.,Negative
"Going to have a hot chocolate at 10 when I watch american horror story, will help me sleep after. ",Negative
" Oh , my God ! What do I do now ? Bone head . ",Negative
"I was in about Grade 7, I came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away.",Negative
" I'm sorry , sir.The price is fixed . ",Negative
Doing well in an exam.,Positive
I felt the above condition when I took my brother's bicycle to a market and unfortunately the bicycle was stolen and I didn't know how I could tell the owner about the stolen bicycle.,Negative
 So ? ,Neutral
"Teenage neighbours smashed my letterbox for the fifth time in a couple of months. It was a deliberate action of kids who had stayed in my home, had meals there yet took a dislike to my daughter. ",Negative
" Don't worry , you'll find a way . ",Neutral
 He's Taipei's most famous calligraphy master ! Quick ! Get in line ! ,Positive
When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,Negative
 Sure . ,Neutral
 I'm in the kitchen ... let yourself in ! ,Neutral
I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.,Negative
 This is unfair . ,Negative
 I'd like to come back next weekend . ,Positive
"His mother had begun to feel very angry about his refusal to eat as he had started to lose weight , which worried her . ",Negative
"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",Negative
For instance when a girl is interested in me and likes me.,Positive
I got separated form my closest friend. He went to work abroad.,Negative
When my husband stays late at a meeting and I have to be alone.,Negative
It was in the evening when I heard that my girl went to Zambia and that she would never come back.,Negative
He followed me all the way home ! ,Negative
"Oh , no . It seems that I've lost my train ticket . ",Negative
 How so ? ,Neutral
When my mother met with a serious accident and there was danger that she would not survive and if she did she would loose her memory.,Negative
 Who cares ? ,Neutral
 When are getting married ? ,Positive
When someone ignores what I am saying or doesn't let me have my point of view and they monopolise a conversation.,Negative
I feel it when I see that somebody is traying to made a stupid of me.,Negative
I was crossing the street together with some colleagues of mine when I suddenly found myself almost under the wheels of a truck.,Negative
 sure . ,Neutral
When I received the news that my beloved grandmother had died.  I was at the boarding school and was only 13 years old.,Negative
When I met an old schhol friend (school love) who works in Skydide.,Positive
 From China . ,Neutral
"hi , Emily , do you know that guy over there ? ",Neutral
 Thank God ! ,Positive
"One day when I was a little boy, my friends asked me to play with them outside and to catch some boys.  However our parents did not know that we were out and when I got home it was very late and I feared being scolded by my parents.",Negative
When my father died.,Negative
"When I had to undergo the final examination of secondary school, I lived together with a girlfriend. We both were afraid to fail, but it appeard that we both had passed.",Positive
 I sure do . ,Neutral
 I know ... ,Neutral
 It seems to me like I may have caught a bug . ,Negative
While watching an entertainment program in which there was a clever  and amusing sketch.,Positive
When I saw the pictures of the draught in ethiopia.,Negative
When I went to my first dental appointment.,Negative
When I heard that someone who is very close to me did very well in the exams despite having fooled around a lot.,Positive
Always when I am well succeded.,Positive
"When I was 8 years old my tonsils had to be operated on. This is not a complicated operation, but just before it started I was very afraid so that I will never forget it.",Negative
One night I was lying in my bed awake but I had my eyes closed. I saw figures with terrible faces and black frocks bending over me and touching me. I opened my eyes but I could still see them. I had the feeling that somebody was in the room. It was terrible. Only when I turned on the light I was able to go to sleep.,Negative
 here we go . ,Neutral
 That ’ s a good idea . Do you know anyone who has done that before ? ,Positive
A father helping his kid to fight other kids.,Negative
When the result of the certificate exam was announced.  I was surprised and happy as the result was better than I had expected.,Positive
I met intoxicated people with dubious intentions in a back alley one Wednesday night.,Negative
" We can cover ourselves with beer ! That way if they bite us , they ’ ll get drunk and fall asleep . ",Neutral
"How mad we 've been , Lyn . ",Negative
 My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis . ,Negative
My friend was badly hurt.,Negative
" Something awful happened . We went to the Portobello Road , and someone stole my handbag . ",Negative
When my girl told me that she loved me more than any male creature on earth and that I would be the only one in her heart for all her life.  ,Positive
It was in 1983 September when MCE results were being announced on the radio. When I heard my name that I had done well I just kept quiet. I was so happy that I couldn't even talk.,Positive
" Oh , how interesting . And what about Larry and Rocky ? ",Positive
As the week went on I got more and more anguished telegrams from home telling me to conclude the deal and come home . ,Negative
" unfortunately , he wasn't able to evacuate in time . He ended up dying in the tower . ",Negative
"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . ",Negative
When my grandfather died.,Negative
"When I left my sister's house after staying there for a few days. She has two little boys, and they are very warm people (the family). At the time, I was in need of this sort of contact, and I grew very fond of children (no, I'm not a paedophiliac).",Negative
The day my parents were involved in a car accident and had to be operated  and before the operation the doctor said that it was mater of life or death.,Negative
Watching China winning the Asian Olympic games.,Positive
 I ’ m sure this one is especially bad . And the word is so unpleasant . ,Negative
How nervous the teacher feels about using this teaching unit . ,Negative
"The Denning family feel sad that , although Sharpness is still thriving , it 'll never be the busy port it once was . ",Negative
" Oh , I ’ m sorry to hear that . I think you ’ d better talk to the police officer walking there . ",Negative
Staying in a relative's house which was broken in before.,Negative
"I was concerned when Jeremy didn't return on the evening of Sunday , October 21 -- he had left his camping gear behind in the hut . ",Negative
 I am awfully sorry . I didn't think you would mind so much . ,Negative
When my son was born.,Positive
 Like what ? ,Neutral
"Annabel said in an agitated voice , ` I feel as if my mind is whirling madly , like a hurricane . ",Negative
"Hi , Daisy ! ",Neutral
"When I come home in the evening, the first thing I do is to sit down and smoke a cigarette. One day I found the flat in a totally desolate state. My girl-friend had wanted to tidy up but had not finished.",Negative
" Oh , thank you.You are so sweet ! ",Positive
During the short period of my unemployment about six years back.,Negative
